NUM,ACH1,ACH2,ACH3,ACH4,ACH5,ACH6,ACH7,ACH8,ACH9,ACH10,ACH11,ACH12,ACH13,ACH14,ACH15,ACH16,ACH17,ACH18,ACH19,ACH20,ACH21,ACH22,ACH23,ACH24,ACH25,ACH26,ACH27,ACH28,ACH29,ACH30
978,10556,5274,9650,-3934,1114,2829,-7,-4,-2,1466,-3874,2434,-3945,1130,2813,0,-47,0,10521,5,8759,-49,8813,-50,5,2,0,8,4698,4698
979,10559,5272,9650,-3447,-212,3560,0,0,0,1466,-3874,2434,-3458,-190,3544,0,18,0,10525,5,8762,-37,8817,-62,0,2,0,16,4698,4698
980,10556,5274,9650,-2636,-1472,3949,-4,-2,-7,1471,-3874,2434,-2646,-1456,3944,0,93,0,10525,5,8765,-37,8817,-50,-6,2,0,11,4698,4698
981,10553,5272,9650,-1537,-2554,3966,-7,2,-4,1466,-3874,2434,-1553,-2549,3966,0,135,0,10525,5,8759,-49,8817,-75,-6,2,0,11,4698,4698
982,10556,5270,9650,-266,-3393,3598,2,0,-7,1460,-3874,2424,-276,-3399,3609,0,168,0,10525,5,8762,-37,8820,-50,0,3,0,11,4698,4698
983,10559,5272,9650,1011,-3913,2884,-4,-4,-9,1471,-3874,2440,1006,-3918,2894,0,309,0,10534,5,8759,-25,8820,-50,-12,2,0,4,4698,4698
984,10549,5270,9650,2158,-4064,1882,-2,4,-2,1466,-3879,2424,2164,-4075,1888,0,229,0,10528,5,8759,-49,8813,-50,0,2,0,0,4698,4698
985,10553,5270,9650,3100,-3810,654,0,4,-4,1460,-3874,2429,3122,-3826,665,0,168,0,10531,5,8762,-37,8823,-50,5,3,0,-6,4698,4698
986,10553,5270,9650,3728,-3209,-628,-4,0,-7,1471,-3874,2429,3755,-3231,-623,0,131,0,10534,5,8762,-25,8817,-50,0,2,0,-6,4698,4698
987,10549,5268,9650,3987,-2295,-1862,-2,0,-4,1466,-3868,2424,4020,-2322,-1862,0,88,0,10534,5,8759,-49,8817,-62,-6,2,0,-6,4698,4698
988,10549,5268,9650,3879,-1142,-2868,-2,0,0,1471,-3874,2429,3912,-1169,-2879,0,37,0,10538,5,8762,-25,8820,-25,5,2,0,-13,4698,4698
989,10549,5268,9650,3300,303,-3691,-4,-2,-2,1471,-3879,2424,3333,297,-3696,0,-47,0,10541,5,8759,-37,8817,-38,5,2,0,-10,4698,4698
990,10549,5266,9650,2580,1406,-3988,-2,-4,-2,1466,-3874,2429,2608,1406,-4021,0,-99,0,10541,5,8755,-37,8817,-62,0,2,0,-5,4698,4698
991,10543,5266,9650,1487,2505,-4005,-4,-7,-4,1460,-3874,2434,1520,2499,-4042,0,-141,0,10538,5,8759,-37,8817,-38,11,2,0,-10,4698,4698
992,10546,5266,9650,216,3333,-3642,-11,-11,-4,1471,-3868,2429,243,3343,-3680,0,-164,0,10544,5,8759,-37,8820,-50,5,1,0,-7,4698,4698
993,10543,5264,9650,-1072,3847,-2928,-4,-9,-4,1466,-3868,2429,-1050,3863,-2960,0,-305,0,10547,5,8755,-37,8813,-50,0,1,0,0,4698,4698
994,10539,5264,9650,-2219,3998,-1921,-2,-9,-4,1466,-3874,2429,-2208,4009,-1965,0,-230,0,10544,5,8762,-37,8817,-50,0,2,0,-3,4698,4698
995,10543,5264,9650,-3144,3765,-693,-9,-9,-7,1471,-3863,2434,-3144,3787,-726,0,-169,0,10547,5,8759,-25,8817,-38,5,3,0,1,4698,4698
996,10536,5262,9650,-3772,3165,606,-2,-7,-7,1471,-3868,2429,-3772,3192,568,0,-141,0,10547,5,8759,-49,8817,-62,0,0,0,1,4698,4698
997,10536,5262,9650,-4032,2250,1823,-7,-9,-7,1460,-3874,2424,-4048,2288,1796,0,-104,0,10547,5,8759,-49,8820,-38,5,2,0,13,4698,4698
998,10539,5262,9650,-3923,1103,2829,-4,-9,-9,1466,-3868,2434,-3945,1125,2813,0,-47,0,10550,5,8759,-37,8820,-62,0,2,0,11,4698,4698
999,10529,5262,9650,-3453,-212,3549,0,-4,-2,1466,-3868,2429,-3458,-190,3544,0,18,0,10550,5,8759,-49,8813,-50,5,2,0,10,4698,4698
1000,10529,5260,9650,-2630,-1456,3955,-9,-4,-9,1471,-3868,2429,-2646,-1451,3944,0,98,0,10550,5,8762,-25,8820,-38,5,2,0,16,4698,4698
